"","county_id","unemployment_rate","hs_graduation_rate","average_age","state","county","population","male_proportion","female_proportion","white_proportion","black_proportion","american_indian_proportion","asian_proportion","hawaiian_pacific_proportion","interracial_proportion","no_hispanic_proportion","hispanic_proportion","state_legislature","syringe_exchange","num_exchange","immunity_for_possession_of_naloxone_no_script","prescriber_immunity_criminal","poverty_rate"
"1269","05000US13103",0.067,0.79,36.1,"Georgia","Effingham County",58553,49.77541714,50.22458286,82.58842416,13.80287944,0.440626441,1.06570116,0.107594829,1.994773965,95.81234096,4.187659044,"Republican","Yes",1,"No","Yes",0.0981845507488942
"1270","05000US27009",0.058,0.922,35.4,"Minnesota","Benton County",39468,50.11401642,49.88598358,92.83723523,3.420492551,0.633424546,1.165501166,0.012668491,1.930678018,97.73487382,2.265126178,"Split","Yes",10,"No","Yes",0.145231580014189
"1271","05000US17117",0.089,0.877,42.6,"Illinois","Macoupin County",45653,49.36367818,50.63632182,97.3035726,0.937506845,0.357041158,0.346088976,0.032856548,1.022933871,98.79964077,1.200359232,"Democrat","Yes",9,"No","Yes",0.125490110178959
"1272","05000US50023",0.043,0.901,43.2,"Vermont","Washington County",58365,49.52111711,50.47888289,95.95990748,0.978326052,0.287843742,0.899511694,0.032553757,1.841857277,98.06904823,1.930951769,"Democrat","Yes",4,"Yes","Yes",0.0981581427225221
"1273","05000US13143",0.087,0.715,40.3,"Georgia","Haralson County",28833,48.55894288,51.44105712,92.64731384,4.758436514,0.336420074,0.679776645,0.027745986,1.55030694,98.47743905,1.522560954,"Republican","Yes",1,"No","Yes",0.19852252627198
"1274","05000US06021",0.122,0.87,37.2,"California","Glenn County",27967,50.63467658,49.36532342,89.54839632,1.301533951,3.146565595,2.985661673,0.175206493,2.842635964,58.40454822,41.59545178,"Democrat","Yes",40,"No","Yes",0.20456252011299
"1275","05000US47017",0.121,0.953,42.6,"Tennessee","Carroll County",27924,48.58902736,51.41097264,86.6673829,10.45337344,0.58372726,0.340209139,0.042973786,1.912333477,97.51110156,2.488898439,"Republican","Yes",1,"No","No",0.204591032803323
"1276","05000US29147",0.059,0.884,28.3,"Missouri","Nodaway County",22492,50.16450293,49.83549707,94.06900231,2.827672061,0.337897919,1.613907167,0.017784101,1.13373644,98.29717233,1.702827672,"Republican","Yes",1,"Yes","Yes",0.25262315489952
"1277","05000US19033",0.052,0.887,44.2,"Iowa","Cerro Gordo County",43064,48.85054802,51.14945198,95.20016719,1.634776147,0.336708155,1.100687349,0.090562883,1.637098272,95.2280327,4.771967304,"Split","Yes",1,"Yes","No",0.131548393089355
"1278","05000US18113",0.076,0.87,37.9,"Indiana","Noble County",47442,50.1370094,49.8629906,97.20079255,0.691370516,0.377302812,0.526959234,0.050588087,1.152986805,89.66738333,10.33261667,"Republican","Yes",7,"No","No",0.119408962522659
"1279","05000US37131",0.096,0.776,47.1,"North Carolina","Northampton County",20166,48.57185361,51.42814639,40.22116434,57.69612219,0.619855202,0.262818606,0.02975305,1.170286621,97.66934444,2.330655559,"Republican","Yes",7,"No","Yes",0.280571258554002
"1280","05000US21217",0.078,0.99,39.2,"Kentucky","Taylor County",25437,48.62208594,51.37791406,91.73251563,5.067421473,0.200495341,1.065377206,0.070763062,1.863427291,97.54294925,2.457050753,"Split","Yes",23,"No","No",0.222431890553131
"1281","05000US13267",0.096,0.62,36.2,"Georgia","Tattnall County",25281,57.39092599,42.60907401,68.0036391,29.42921562,0.660575135,0.617064198,0.166132669,1.123373284,89.27257624,10.72742376,"Republican","Yes",1,"No","Yes",0.223329773347573
"1282","05000US55005",0.073,0.876,43.9,"Wisconsin","Barron County",45267,50.08726003,49.91273997,95.71210816,1.343141803,1.018401926,0.636225065,0.017672918,1.272450129,97.50149115,2.498508848,"Republican","Yes",15,"Yes","Yes",0.124594075154086
"1283","05000US56013",0.06,0.716,38.2,"Wyoming","Fremont County",40245,50.15529879,49.84470121,74.33221518,0.529258293,21.84867685,0.429867064,0.079512983,2.780469624,93.19418561,6.805814387,"Republican","No",0,"No","Yes",0.140067089079389
"1284","05000US47069",0.116,0.82,39.8,"Tennessee","Hardeman County",25476,54.7417177,45.2582823,56.0566808,41.70199403,0.30224525,0.69477155,0,1.244308369,98.30036112,1.699638876,"Republican","Yes",1,"No","No",0.221227822264092
