,STNAME,STATE,COUNTY,CTYNAME,GEO,TOT_POP,prop_male,prop_female,prop_white,prop_black,prop_amin,prop_asian,prop_na,prop_two,prop_nohis,prop_his
602,Illinois,17,13,Calhoun County,05000US17013,4859,50.15435275,49.84564725,98.68285655,0.411607327,0.205803663,0.205803663,0,0.493928792,98.86807985,1.131920148
603,Illinois,17,15,Carroll County,05000US17015,14611,49.99657792,50.00342208,96.48894668,1.060844569,0.438026145,0.588597632,0.034220793,1.389364178,96.36575183,3.634248169
604,Illinois,17,17,Cass County,05000US17017,12681,50.50863497,49.49136503,92.8317956,4.660515732,0.646636701,0.559892753,0.102515574,1.19864364,81.29485056,18.70514944
605,Illinois,17,19,Champaign County,05000US17019,209267,49.98494746,50.01505254,72.76828167,13.21517487,0.360305256,10.73174461,0.102261704,2.822231886,94.15340211,5.846597887
606,Illinois,17,21,Christian County,05000US17021,33271,50.91521145,49.08478855,96.53151393,1.568933906,0.240449641,0.625169066,0.039073067,0.994860389,98.40702113,1.59297887
607,Illinois,17,23,Clark County,05000US17023,15848,49.46996466,50.53003534,97.87354871,0.517415447,0.227158001,0.378596668,0.031549722,0.971731449,98.47930338,1.520696618
608,Illinois,17,25,Clay County,05000US17025,13311,49.44031252,50.55968748,97.50582225,0.473292765,0.270453009,0.781308692,0,0.969123281,98.59514687,1.404853129
609,Illinois,17,27,Clinton County,05000US17027,37565,51.94196726,48.05803274,94.24730467,3.617729269,0.396645814,0.500465859,0.066551311,1.171303075,96.85079196,3.149208039
610,Illinois,17,29,Coles County,05000US17029,52412,48.34961459,51.65038541,92.72113257,4.17843242,0.251850721,1.119972525,0.133557201,1.595054568,97.49675647,2.503243532
611,Illinois,17,31,Cook County,05000US17031,5231356,48.52917676,51.47082324,65.64688008,24.16813155,0.74256082,7.464909672,0.074684269,1.902833606,74.73037583,25.26962417
612,Illinois,17,33,Crawford County,05000US17033,19142,52.04262877,47.95737123,92.99968655,4.957684672,0.339567443,0.626893742,0.047017031,1.029150559,97.72751019,2.272489813
613,Illinois,17,35,Cumberland County,05000US17035,10892,50.16525891,49.83474109,97.52111642,0.486595667,0.183621006,0.771208226,0.064267352,0.973191333,98.93499816,1.065001836
614,Illinois,17,37,DeKalb County,05000US17037,104447,49.57155304,50.42844696,87.15616533,7.64311086,0.428925675,2.753549647,0.068934484,1.949314006,89.01452411,10.98547589
615,Illinois,17,39,De Witt County,05000US17039,16159,49.65653815,50.34346185,97.11615818,0.915898261,0.259917074,0.414629618,0.049508014,1.243888855,97.32037874,2.679621264
616,Illinois,17,41,Douglas County,05000US17041,19769,49.56750468,50.43249532,97.08634731,0.682887349,0.323739188,0.733471597,0.005058425,1.16849613,92.69057615,7.309423845
617,Illinois,17,43,DuPage County,05000US17043,931153,49.11512931,50.88487069,80.62466641,5.1541476,0.399289913,11.84091121,0.053052506,1.927932359,85.76141622,14.23858378
618,Illinois,17,45,Edgar County,05000US17045,17472,48.79807692,51.20192308,98.01968864,0.53228022,0.240384615,0.331959707,0.022893773,0.85279304,98.85531136,1.144688645
619,Illinois,17,47,Edwards County,05000US17047,6545,49.06035141,50.93964859,97.66233766,0.550038197,0.290297937,0.38197097,0,1.115355233,98.7012987,1.298701299
620,Illinois,17,49,Effingham County,05000US17049,34182,49.74548008,50.25451992,97.62740624,0.462231584,0.251594406,0.772336317,0.03218068,0.854250775,98.02235094,1.977649055
621,Illinois,17,51,Fayette County,05000US17051,21816,53.15823249,46.84176751,93.14723139,5.088008801,0.252108544,0.330033003,0.022918959,1.159699303,98.27191052,1.728089476
622,Illinois,17,53,Ford County,05000US17053,13342,49.10807975,50.89192025,96.9120072,0.989356918,0.337280768,0.434717434,0.029980513,1.296657173,96.78459002,3.215409984
623,Illinois,17,55,Franklin County,05000US17055,39092,49.39373785,50.60626215,97.26542515,0.588355674,0.404174767,0.442545789,0.012790341,1.286708278,98.39864934,1.60135066
624,Illinois,17,57,Fulton County,05000US17057,35517,51.95540164,48.04459836,94.0845229,3.924881043,0.667286088,0.329419715,0.014077766,0.979812484,97.05493144,2.945068559
625,Illinois,17,59,Gallatin County,05000US17059,5163,48.42146039,51.57853961,97.5595584,0.69726903,0.309897347,0.096842921,0,1.336432307,98.33430176,1.665698237
626,Illinois,17,61,Greene County,05000US17061,13119,50.36969281,49.63030719,97.5379221,1.17386996,0.259166095,0.198185837,0.015245064,0.815610946,98.90997789,1.090022105
627,Illinois,17,63,Grundy County,05000US17063,50269,49.96717659,50.03282341,95.93984364,1.5615986,0.344148481,0.833515686,0.041775249,1.279118343,90.32405658,9.675943424
628,Illinois,17,65,Hamilton County,05000US17065,8199,48.92060007,51.07939993,97.65825101,0.658616905,0.439077936,0.280522015,0.012196609,0.951335529,98.35345774,1.646542261
629,Illinois,17,67,Hancock County,05000US17067,18219,49.64048521,50.35951479,97.53553982,0.565343872,0.30188265,0.389703057,0.076842856,1.130687744,98.5454745,1.454525495
630,Illinois,17,69,Hardin County,05000US17069,4099,51.59795072,48.40204928,95.51110027,1.854110759,0.707489632,0.487923884,0.121980971,1.317394486,98.02390827,1.97609173
631,Illinois,17,71,Henderson County,05000US17071,6874,49.14169334,50.85830666,97.86150713,0.305498982,0.290951411,0.392784405,0.072737853,1.076520221,98.41431481,1.585685191
632,Illinois,17,73,Henry County,05000US17073,49524,49.96971165,50.03028835,95.89088119,1.782973912,0.306921896,0.486632744,0.032307568,1.500282691,94.36838704,5.631612955
633,Illinois,17,75,Iroquois County,05000US17075,28214,49.03239526,50.96760474,96.53009144,1.049124548,0.34734529,0.637981144,0.031899057,1.403558517,93.17005742,6.829942582
634,Illinois,17,77,Jackson County,05000US17077,59032,50.07453584,49.92546416,77.73580431,14.90886299,0.553936848,3.840290012,0.09147581,2.869630031,95.72435289,4.275647107
635,Illinois,17,79,Jasper County,05000US17079,9593,50.26581883,49.73418117,98.55102679,0.229333889,0.218909622,0.344000834,0.020848535,0.635880329,98.44678411,1.553215887
636,Illinois,17,81,Jefferson County,05000US17081,38308,51.55058996,48.44941004,87.37600501,9.123420695,0.334133862,1.242560301,0.03393547,1.889944659,97.4522293,2.547770701
637,Illinois,17,83,Jersey County,05000US17083,21945,48.73547505,51.26452495,96.95146958,0.733652313,0.35543404,0.669856459,0.02734108,1.262246525,98.66940077,1.330599225
638,Illinois,17,85,Jo Daviess County,05000US17085,21861,49.93824619,50.06175381,97.56186817,0.663281643,0.283610082,0.530625314,0.050317918,0.910296876,96.99922236,3.000777641
639,Illinois,17,87,Johnson County,05000US17087,12961,56.63143276,43.36856724,88.7817298,9.551732119,0.316333616,0.254609984,0.030861816,1.06473266,96.65920839,3.340791606
640,Illinois,17,89,Kane County,05000US17089,532553,49.74303027,50.25696973,86.79380268,5.993581859,1.025813393,4.212350696,0.07886539,1.895585979,68.17781517,31.82218483
641,Illinois,17,91,Kankakee County,05000US17091,110053,49.24082033,50.75917967,81.25539513,15.32261728,0.399807366,1.043133763,0.046341308,1.932705151,89.71768148,10.28231852
642,Illinois,17,93,Kendall County,05000US17093,124573,49.55086576,50.44913424,87.2355968,7.068947525,0.490475464,3.149157522,0.057797436,1.998025254,81.92064091,18.07935909
643,Illinois,17,95,Knox County,05000US17095,50945,50.426931,49.573069,87.91638041,8.159780155,0.394543135,0.955932869,0.027480616,2.545882815,94.39395426,5.606045736
644,Illinois,17,97,Lake County,05000US17097,704935,49.99368736,50.00631264,81.76838999,7.431749027,0.854121302,7.740004398,0.097313937,2.108421344,78.56766936,21.43233064
645,Illinois,17,99,LaSalle County,05000US17099,110507,50.48186993,49.51813007,94.61844046,2.768150434,0.373731981,0.912159411,0.031672202,1.295845512,90.45580823,9.544191771
646,Illinois,17,101,Lawrence County,05000US17101,16343,56.20755063,43.79244937,87.63384935,10.35917518,0.379367313,0.446674417,0.030594138,1.150339595,96.15125742,3.848742581
647,Illinois,17,103,Lee County,05000US17103,34399,52.87944417,47.12055583,91.9648827,5.366435071,0.32559086,0.831419518,0.043605919,1.468065932,94.08413035,5.915869647
648,Illinois,17,105,Livingston County,05000US17105,36475,50.32488005,49.67511995,92.94311172,4.616860864,0.296093215,0.67169294,0.016449623,1.455791638,95.46812886,4.531871145
649,Illinois,17,107,Logan County,05000US17107,29338,50.72261231,49.27738769,89.09264435,8.323675779,0.364714704,0.77714909,0.020451292,1.421364783,96.59485991,3.405140091
650,Illinois,17,109,McDonough County,05000US17109,31387,49.44085131,50.55914869,90.19976423,5.473603721,0.328161341,2.258896996,0.019116195,1.720457514,97.26319814,2.736801861
651,Illinois,17,111,McHenry County,05000US17111,307972,49.7723819,50.2276181,93.50460431,1.578390243,0.462379697,2.874611978,0.052926889,1.527086878,87.22643617,12.77356383
652,Illinois,17,113,McLean County,05000US17113,172688,48.64437598,51.35562402,83.97398777,7.820462337,0.314439915,5.470559622,0.054433429,2.366116928,95.17279718,4.827202817
653,Illinois,17,115,Macon County,05000US17115,106651,47.9414164,52.0585836,78.29181161,17.39036671,0.257850372,1.221741943,0.040318422,2.797910943,97.7749857,2.225014299
654,Illinois,17,117,Macoupin County,05000US17117,45653,49.36367818,50.63632182,97.3035726,0.937506845,0.357041158,0.346088976,0.032856548,1.022933871,98.79964077,1.200359232
655,Illinois,17,119,Madison County,05000US17119,265598,48.77785224,51.22214776,88.09704892,8.557669862,0.33019827,1.012432323,0.059111891,1.943538731,96.81774712,3.182252878
656,Illinois,17,121,Marion County,05000US17121,38066,48.7863185,51.2136815,93.00425577,4.163820732,0.344139127,0.646245994,0.026270162,1.815268218,98.01660274,1.983397257
657,Illinois,17,123,Marshall County,05000US17123,11898,49.67221382,50.32778618,97.51218692,0.613548496,0.353000504,0.487476887,0.058833417,0.974953774,96.93225752,3.067742478
658,Illinois,17,125,Mason County,05000US17125,13706,49.29957683,50.70042317,97.57040712,0.51072523,0.350211586,0.393988034,0.014592149,1.160075879,98.92747702,1.072522983
659,Illinois,17,127,Massac County,05000US17127,14469,47.87476674,52.12523326,90.84249084,5.770958601,0.525260903,0.50452692,0.013822655,2.342940079,97.11797636,2.882023637
660,Illinois,17,129,Menard County,05000US17129,12399,48.82651827,51.17348173,97.08040971,0.927494153,0.314541495,0.338736995,0.0241955,1.314622147,98.45148802,1.548511977
661,Illinois,17,131,Mercer County,05000US17131,15630,49.96801024,50.03198976,97.80550224,0.607805502,0.19193858,0.383877159,0.038387716,0.972488804,97.57517594,2.424824056
662,Illinois,17,133,Monroe County,05000US17133,33878,49.55428302,50.44571698,97.90129287,0.377826318,0.230237913,0.581498317,0.026565913,0.882578665,98.47688766,1.523112344
663,Illinois,17,135,Montgomery County,05000US17135,29079,52.39863819,47.60136181,94.97231679,3.493930328,0.226967915,0.467691461,0.037827986,0.801265518,98.20832903,1.791670965
664,Illinois,17,137,Morgan County,05000US17137,34194,50.46791835,49.53208165,90.77615956,6.337369129,0.368485699,0.663859157,0.049716325,1.80441013,97.60776744,2.392232555
665,Illinois,17,139,Moultrie County,05000US17139,14599,48.90745942,51.09254058,98.10260977,0.48633468,0.246592232,0.30824029,0.034248921,0.821974108,98.72594013,1.274059867
666,Illinois,17,141,Ogle County,05000US17141,51168,49.71271107,50.28728893,96.50953721,1.092479675,0.373280175,0.603893058,0.072310819,1.348499062,89.9351157,10.0648843
667,Illinois,17,143,Peoria County,05000US17143,185296,48.52776099,51.47223901,74.04423193,18.47260599,0.388027804,4.122053363,0.059904153,2.913176755,95.27566704,4.724332959
668,Illinois,17,145,Perry County,05000US17145,21382,54.68150781,45.31849219,88.68674586,8.656814143,0.350762323,0.509774577,0.060798803,1.735104293,96.94135254,3.05864746
669,Illinois,17,147,Piatt County,05000US17147,16526,49.3948929,50.6051071,97.76110372,0.532494251,0.193634273,0.435677115,0.042357497,1.034733148,98.66876437,1.331235629
670,Illinois,17,149,Pike County,05000US17149,15882,50.45963984,49.54036016,96.59992444,1.888930865,0.245561012,0.308525375,0.056667926,0.900390379,98.74700919,1.252990807
671,Illinois,17,151,Pope County,05000US17151,4295,52.94528522,47.05471478,90.96623981,6.472642608,0.745052386,0.372526193,0.046565774,1.396973225,98.0209546,1.979045402
672,Illinois,17,153,Pulaski County,05000US17153,5603,48.43833661,51.56166339,65.03658754,31.42959129,0.588970195,0.285561306,0.053542745,2.605746921,97.75120471,2.248795288
673,Illinois,17,155,Putnam County,05000US17155,5717,51.14570579,48.85429421,97.42872136,0.839601189,0.262375372,0.332342137,0.017491691,1.119468253,94.4726255,5.527374497
